,dataset,corr-method,embeddings,value
98,semeval17.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.715077964955469
99,simlex999.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.24419171333789413
100,simlex999.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.3880434236566852
101,simlex999.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.3496084797610413
102,simverb-3500.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.253034198075651
103,simverb-3500.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.3754369940205035
104,simverb-3500.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.3635485575485604
105,verb-143.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.40683130629305636
106,verb-143.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.5887379444238541
107,verb-143.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.5695090410957173
108,wordsim353-rel.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.46014544102776933
109,wordsim353-rel.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.5920509853121997
110,wordsim353-rel.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.6354514099606292
111,wordsim353-sim.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.5734257769210525
112,wordsim353-sim.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.7645224538392227
113,wordsim353-sim.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.7717239276951675
114,yp-130.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.39744503705246825
115,yp-130.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.5802723204579782
116,yp-130.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.5589991817021649
117,mc-30.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.6013840848841637
118,mc-30.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.7821355183225926
119,mc-30.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.7765910294621935
120,men.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.4716951007191714
121,men.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.6584252766286872
122,men.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.6630408036120584
123,mturk-287.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.43416510219353327
124,mturk-287.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.6633082186565422
125,mturk-287.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.6202956180909754
126,mturk-771.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.4308934523568098
127,mturk-771.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.6161017861854052
128,mturk-771.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.611970237940354
129,rg-65.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.5732187904323983
130,rg-65.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.7912684372171458
131,rg-65.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.7704866118935872
132,rw.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.32599976396282077
133,rw.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.4855432773654813
134,rw.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.46853647184726666
135,semeval17.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.5117596332099409
136,semeval17.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.7000648317101722
137,semeval17.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.7057462027429047
138,simlex999.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.22041579998592678
139,simlex999.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.3360911932056179
140,simlex999.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.32359141866782914
141,simverb-3500.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.25406276425196594
142,simverb-3500.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.3745368559495533
143,simverb-3500.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.363904686540453
144,verb-143.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.3507166433560831
145,verb-143.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.5214336518321507
146,verb-143.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.49596343021037437
147,wordsim353-rel.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.25685409109204804
148,wordsim353-rel.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.3770322202972661
149,wordsim353-rel.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.3723900242561886
150,wordsim353-sim.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.5452821805077492
151,wordsim353-sim.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.7713714480727097
152,wordsim353-sim.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.746956936371249
153,yp-130.csv,kendall,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.3403359558917206
154,yp-130.csv,pearson,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.5091175996597035
155,yp-130.csv,spearman,sim_vocab_concept_embeddings.pkl_w2v-format.txt,0.48345305875258016
